股票代码,股票名称,行业,模型,当前标签,当前分数,风险调整后分数,PE,PB,股息率,ROE,FCF收益率,市值,资金信号,资金来源,金融模型状态,周期归一化状态,normalized PE,normalized FCF收益率,周期字段缺口,周期下一步必查,便宜原因,风险信号,数据缺口
601601.SH,中国太保,保险,金融企业,行业模型待补,17.0,17.0,5.93,1.00,3.25%,13.80%,59.79%,3198.76亿元,弱信号,回购/产业资本弱信号,保险专属模型待补,非周期模型不适用,,,,,低PE；低PB；金融股低估值需用专属资产质量指标复核,金融行业仅粗筛，未接入不良率/拨备覆盖率/资本充足率等专属数据；行业专属数据不足；营收5年CAGR为负；保险模型待补：需补内含价值、新业务价值、投资收益率、偿付能力、负债成本。,金融股专属指标未接入
601319.SH,中国人保,保险,金融企业,行业模型待补,17.0,17.0,7.43,0.99,2.68%,12.82%,35.97%,3166.44亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,保险专属模型待补,非周期模型不适用,,,,,低PE；低PB；金融股低估值需用专属资产质量指标复核,金融行业仅粗筛，未接入不良率/拨备覆盖率/资本充足率等专属数据；行业专属数据不足；保险模型待补：需补内含价值、新业务价值、投资收益率、偿付能力、负债成本。,金融股专属指标未接入
600908.SH,无锡银行,银行,金融企业,行业模型待补,16.5,16.5,5.27,0.53,5.90%,10.61%,93.90%,122.68亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,银行专项最小版 / 银行字段部分接入,非周期模型不适用,,,,,低PE；低PB；高股息；金融股低估值需用专属资产质量指标复核,ROE下滑；金融行业仅粗筛，未接入不良率/拨备覆盖率/资本充足率等专属数据；ROE连续下滑；金融企业ROE下滑；行业专属数据不足；存在价值陷阱信号；银行模型待补：需补不良率、拨备覆盖率、资本充足率、净息差、ROE稳定性、成本收入比。,金融股专属指标未接入
002839.SZ,张家港行,银行,金融企业,行业模型待补,16.5,16.5,5.27,0.55,5.12%,10.48%,-31.47%,105.11亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,银行专项最小版 / 银行字段部分接入,非周期模型不适用,,,,,低PE；低PB；高股息；金融股低估值需用专属资产质量指标复核,ROE下滑；金融行业仅粗筛，未接入不良率/拨备覆盖率/资本充足率等专属数据；ROE连续下滑；金融企业ROE下滑；行业专属数据不足；存在价值陷阱信号；银行模型待补：需补不良率、拨备覆盖率、资本充足率、净息差、ROE稳定性、成本收入比。,金融股专属指标未接入
000600.SZ,建投能源,火力发电,周期公用事业,行业模型待补,16.5,16.5,9.08,1.48,3.12%,0.76%,6.24%,184.65亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,normalized PE 数据不足,数据不足,数据不足,normalized PE proxy:5年中有效年份少于3年,下一步重点复核：5 年利润中枢是否代表正常景气、当前利润是否处于周期高点、资本开支是否压低自由现金流、商品价格/产能/利用率是否支持盈利持续。,低PE；低PB；周期/类公用事业需用归一化利润复核,周期/类公用事业行业，当前PE可能不可直接外推；需行业模型复核：需复核煤电价差、容量电价、利用小时和政策定价。；当前利润显著高于5年均值；ROE偏低或缺失；存在价值陷阱信号；ROE偏低，需验证盈利质量和资本回报可持续性；周期/类公用事业需复核商品周期、政策定价、资本开支和 normalized PE。,周期/公用事业 normalized PE 与周期变量未接入
601326.SH,秦港股份,港口,周期公用事业,行业模型待补,16.5,16.5,12.05,0.94,2.44%,7.88%,7.22%,194.44亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,normalized PE 数据不足,数据不足,数据不足,normalized PE proxy:5年中有效年份少于3年,下一步重点复核：5 年利润中枢是否代表正常景气、当前利润是否处于周期高点、资本开支是否压低自由现金流、商品价格/产能/利用率是否支持盈利持续。,低PE；低PB；周期/类公用事业需用归一化利润复核,周期/类公用事业行业，当前PE可能不可直接外推；需行业模型复核：需复核吞吐量、费率政策、腹地经济和资本开支。；ROE偏低或缺失；ROE偏低，需验证盈利质量和资本回报可持续性；航运/港口需复核运价周期、吞吐量、资本开支和全球贸易波动。,周期/公用事业 normalized PE 与周期变量未接入
601229.SH,上海银行,银行,金融企业,行业模型待补,16.0,16.0,5.38,0.52,5.66%,10.09%,-52.66%,1304.39亿元,弱信号,策略ETF弱信号,银行专项最小版 / 银行字段部分接入,非周期模型不适用,,,,,低PE；低PB；高股息；金融股低估值需用专属资产质量指标复核,ROE下滑；金融行业仅粗筛，未接入不良率/拨备覆盖率/资本充足率等专属数据；ROE连续下滑；金融企业ROE下滑；行业专属数据不足；营收5年CAGR为负；存在价值陷阱信号；银行模型待补：需补不良率、拨备覆盖率、资本充足率、净息差、ROE稳定性、成本收入比。,金融股专属指标未接入
601398.SH,工商银行,银行,金融企业,行业模型待补,16.0,16.0,7.27,0.68,4.10%,10.10%,68.65%,26979.95亿元,弱信号,策略ETF弱信号,银行专项最小版 / 银行字段部分接入,非周期模型不适用,,,,,低PE；低PB；高股息；金融股低估值需用专属资产质量指标复核,ROE下滑；金融行业仅粗筛，未接入不良率/拨备覆盖率/资本充足率等专属数据；ROE连续下滑；金融企业ROE下滑；行业专属数据不足；营收5年CAGR为负；存在价值陷阱信号；银行模型待补：需补不良率、拨备覆盖率、资本充足率、净息差、ROE稳定性、成本收入比。,金融股专属指标未接入
000783.SZ,长江证券,证券,金融企业,行业模型待补,16.0,16.0,10.42,1.19,3.79%,6.35%,4.12%,437.98亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,券商专属模型待补,非周期模型不适用,,,,,低PE；低PB；金融股低估值需用专属资产质量指标复核,金融行业仅粗筛，未接入不良率/拨备覆盖率/资本充足率等专属数据；行业专属数据不足；ROE偏低或缺失；ROE偏低，需验证盈利质量和资本回报可持续性；券商模型待补：需补 PB、ROE、市场周期和经纪/投行/资管业务结构。,金融股专属指标未接入
001872.SZ,招商港口,港口,周期公用事业,行业模型待补,16.0,16.0,11.04,0.78,3.58%,7.05%,11.68%,513.50亿元,未接入/无明显信号,无,非金融企业不适用,normalized PE 数据不足,数据不足,数据不足,normalized PE proxy:5年中有效年份少于3年,下一步重点复核：5 年利润中枢是否代表正常景气、当前利润是否处于周期高点、资本开支是否压低自由现金流、商品价格/产能/利用率是否支持盈利持续。,低PE；低PB；周期/类公用事业需用归一化利润复核,周期/类公用事业行业，当前PE可能不可直接外推；需行业模型复核：需复核吞吐量、费率政策、腹地经济和资本开支。；ROE偏低或缺失；ROE偏低，需验证盈利质量和资本回报可持续性；航运/港口需复核运价周期、吞吐量、资本开支和全球贸易波动。,周期/公用事业 normalized PE 与周期变量未接入
601211.SH,国泰海通,证券,金融企业,行业模型待补,16.0,16.0,14.04,0.94,2.44%,8.54%,25.78%,3083.30亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,券商专属模型待补,非周期模型不适用,,,,,低PE；低PB；金融股低估值需用专属资产质量指标复核,金融行业仅粗筛，未接入不良率/拨备覆盖率/资本充足率等专属数据；行业专属数据不足；券商模型待补：需补 PB、ROE、市场周期和经纪/投行/资管业务结构。,金融股专属指标未接入
600583.SH,海油工程,石油开采,周期公用事业,行业模型待补,16.0,16.0,12.36,0.84,-,6.19%,10.23%,244.94亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,normalized PE 数据不足,数据不足,数据不足,normalized PE proxy:5年中有效年份少于3年,下一步重点复核：5 年利润中枢是否代表正常景气、当前利润是否处于周期高点、资本开支是否压低自由现金流、商品价格/产能/利用率是否支持盈利持续。,低PE；低PB；周期/类公用事业需用归一化利润复核,周期/类公用事业行业，当前PE可能不可直接外推；需行业模型复核：需复核油价周期、储量/产量、资本开支和成本曲线。；ROE偏低或缺失；ROE偏低，需验证盈利质量和资本回报可持续性；石油链需复核油价、储量/服务价格、资本开支和景气中枢。,周期/公用事业 normalized PE 与周期变量未接入
600502.SH,安徽建工,建筑工程,周期公用事业,行业模型待补,15.5,15.5,5.28,0.67,6.09%,10.46%,-144.43%,81.71亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,normalized PE 数据不足,数据不足,数据不足,normalized PE proxy:5年中有效年份少于3年,下一步重点复核：5 年利润中枢是否代表正常景气、当前利润是否处于周期高点、资本开支是否压低自由现金流、商品价格/产能/利用率是否支持盈利持续。,低PE；低PB；高股息；周期/类公用事业需用归一化利润复核,ROE下滑；资产负债率偏高；周期/类公用事业行业，当前PE可能不可直接外推；需行业模型复核：需复核订单质量、回款、应收账款和地产/基建周期。；ROE连续下滑；存在价值陷阱信号；资产负债率偏高；周期/类公用事业需复核商品周期、政策定价、资本开支和 normalized PE。,周期/公用事业 normalized PE 与周期变量未接入
301109.SZ,军信股份,环境保护,周期公用事业,行业模型待补,15.5,15.5,14.02,1.39,4.70%,12.47%,10.27%,107.00亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,normalized PE 数据不足,数据不足,数据不足,normalized PE proxy:5年中有效年份少于3年,下一步重点复核：5 年利润中枢是否代表正常景气、当前利润是否处于周期高点、资本开支是否压低自由现金流、商品价格/产能/利用率是否支持盈利持续。,低PE；低PB；高股息；周期/类公用事业需用归一化利润复核,分红支付率过高；周期/类公用事业行业，当前PE可能不可直接外推；需行业模型复核：需复核政策定价、资本开支、现金流稳定性和分红约束。；分红支付率过高；周期/类公用事业需复核商品周期、政策定价、资本开支和 normalized PE。,周期/公用事业 normalized PE 与周期变量未接入
600377.SH,宁沪高速,路桥,周期公用事业,行业模型待补,15.5,15.5,12.86,1.41,4.04%,12.96%,-1.42%,610.57亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,normalized PE 数据不足,数据不足,数据不足,normalized PE proxy:5年中有效年份少于3年,下一步重点复核：5 年利润中枢是否代表正常景气、当前利润是否处于周期高点、资本开支是否压低自由现金流、商品价格/产能/利用率是否支持盈利持续。,低PE；低PB；高股息；周期/类公用事业需用归一化利润复核,ROE下滑；周期/类公用事业行业，当前PE可能不可直接外推；需行业模型复核：需复核收费政策、车流量、资本开支和分红稳定性。；ROE连续下滑；存在价值陷阱信号；周期/类公用事业需复核商品周期、政策定价、资本开支和 normalized PE。,周期/公用事业 normalized PE 与周期变量未接入
601963.SH,重庆银行,银行,金融企业,行业模型待补,15.5,15.5,7.24,0.72,1.34%,9.56%,114.20%,421.31亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,银行专项最小版 / 银行字段部分接入,非周期模型不适用,,,,,低PE；低PB；金融股低估值需用专属资产质量指标复核,金融行业仅粗筛，未接入不良率/拨备覆盖率/资本充足率等专属数据；行业专属数据不足；银行模型待补：需补不良率、拨备覆盖率、资本充足率、净息差、ROE稳定性、成本收入比。,金融股专属指标未接入
603323.SH,苏农银行,银行,金融企业,行业模型待补,15.5,15.5,4.78,0.51,1.84%,10.88%,73.53%,98.71亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,银行专项最小版 / 银行字段部分接入,非周期模型不适用,,,,,低PE；低PB；金融股低估值需用专属资产质量指标复核,金融行业仅粗筛，未接入不良率/拨备覆盖率/资本充足率等专属数据；行业专属数据不足；银行模型待补：需补不良率、拨备覆盖率、资本充足率、净息差、ROE稳定性、成本收入比。,金融股专属指标未接入
601919.SH,中远海控,水运,周期公用事业,行业模型待补,15.0,15.0,8.86,0.94,11.02%,42.94%,9.25%,2218.85亿元,弱信号,策略ETF弱信号,非金融企业不适用,normalized PE 数据不足,数据不足,数据不足,normalized PE proxy:5年中有效年份少于3年,下一步重点复核：5 年利润中枢是否代表正常景气、当前利润是否处于周期高点、资本开支是否压低自由现金流、商品价格/产能/利用率是否支持盈利持续。,低PE；低PB；高股息；周期/类公用事业需用归一化利润复核,ROE下滑；周期/类公用事业行业，当前PE可能不可直接外推；需行业模型复核：需复核运价周期、船队供给和资本开支。；ROE连续下滑；营收5年CAGR为负；扣非净利润5年CAGR为负；存在价值陷阱信号；周期/类公用事业需复核商品周期、政策定价、资本开支和 normalized PE。,周期/公用事业 normalized PE 与周期变量未接入
600015.SH,华夏银行,银行,金融企业,行业模型待补,15.0,15.0,4.07,0.34,5.84%,7.96%,47.30%,1102.90亿元,弱信号,策略ETF弱信号,银行专项最小版 / 银行字段部分接入,非周期模型不适用,,,,,低PE；低PB；高股息；金融股低估值需用专属资产质量指标复核,ROE下滑；金融行业仅粗筛，未接入不良率/拨备覆盖率/资本充足率等专属数据；ROE连续下滑；金融企业ROE下滑；行业专属数据不足；ROE偏低或缺失；营收5年CAGR为负；存在价值陷阱信号；ROE偏低，需验证盈利质量和资本回报可持续性；银行模型待补：需补不良率、拨备覆盖率、资本充足率、净息差、ROE稳定性、成本收入比。,金融股专属指标未接入
601077.SH,渝农商行,银行,金融企业,行业模型待补,15.0,15.0,6.24,0.57,4.63%,9.30%,-1.77%,768.87亿元,弱信号,策略ETF弱信号,银行专项最小版 / 银行字段部分接入,非周期模型不适用,,,,,低PE；低PB；高股息；金融股低估值需用专属资产质量指标复核,ROE下滑；金融行业仅粗筛，未接入不良率/拨备覆盖率/资本充足率等专属数据；ROE连续下滑；金融企业ROE下滑；行业专属数据不足；营收5年CAGR为负；存在价值陷阱信号；银行模型待补：需补不良率、拨备覆盖率、资本充足率、净息差、ROE稳定性、成本收入比。,金融股专属指标未接入
002616.SZ,长青集团,环境保护,周期公用事业,行业模型待补,15.0,15.0,14.27,1.15,7.65%,3.96%,15.83%,42.62亿元,未接入/无明显信号,无,非金融企业不适用,normalized PE 数据不足,数据不足,数据不足,normalized PE proxy:5年中有效年份少于3年,下一步重点复核：5 年利润中枢是否代表正常景气、当前利润是否处于周期高点、资本开支是否压低自由现金流、商品价格/产能/利用率是否支持盈利持续。,低PE；低PB；高股息；周期/类公用事业需用归一化利润复核,周期/类公用事业行业，当前PE可能不可直接外推；需行业模型复核：需复核政策定价、资本开支、现金流稳定性和分红约束。；当前利润显著高于5年均值；ROE偏低或缺失；存在价值陷阱信号；ROE偏低，需验证盈利质量和资本回报可持续性；周期/类公用事业需复核商品周期、政策定价、资本开支和 normalized PE。,周期/公用事业 normalized PE 与周期变量未接入
601686.SH,友发集团,钢加工,周期公用事业,行业模型待补,15.0,15.0,11.25,1.14,5.63%,7.91%,6.95%,76.10亿元,未接入/无明显信号,无,非金融企业不适用,normalized PE 数据不足,数据不足,数据不足,normalized PE proxy:5年中有效年份少于3年,下一步重点复核：5 年利润中枢是否代表正常景气、当前利润是否处于周期高点、资本开支是否压低自由现金流、商品价格/产能/利用率是否支持盈利持续。,低PE；低PB；高股息；周期/类公用事业需用归一化利润复核,周期/类公用事业行业，当前PE可能不可直接外推；需行业模型复核：需复核钢价周期、产能利用率、原料价差和环保限产。；ROE偏低或缺失；营收5年CAGR为负；扣非净利润5年CAGR为负；资产负债率偏高；ROE偏低，需验证盈利质量和资本回报可持续性；金属周期需复核商品价格、库存、成本曲线、产能约束和 normalized PE。,周期/公用事业 normalized PE 与周期变量未接入
600795.SH,国电电力,火力发电,周期公用事业,行业模型待补,15.0,15.0,13.29,1.47,4.17%,9.12%,8.76%,897.13亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,normalized PE 数据不足,数据不足,数据不足,normalized PE proxy:5年中有效年份少于3年,下一步重点复核：5 年利润中枢是否代表正常景气、当前利润是否处于周期高点、资本开支是否压低自由现金流、商品价格/产能/利用率是否支持盈利持续。,低PE；低PB；高股息；周期/类公用事业需用归一化利润复核,资产负债率偏高；周期/类公用事业行业，当前PE可能不可直接外推；需行业模型复核：需复核煤电价差、容量电价、利用小时和政策定价。；当前利润显著高于5年均值；存在价值陷阱信号；资产负债率偏高；周期/类公用事业需复核商品周期、政策定价、资本开支和 normalized PE。,周期/公用事业 normalized PE 与周期变量未接入
600018.SH,上港集团,港口,周期公用事业,行业模型待补,15.0,15.0,8.60,0.81,3.86%,12.94%,4.19%,1175.64亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,normalized PE 数据不足,数据不足,数据不足,normalized PE proxy:5年中有效年份少于3年,下一步重点复核：5 年利润中枢是否代表正常景气、当前利润是否处于周期高点、资本开支是否压低自由现金流、商品价格/产能/利用率是否支持盈利持续。,低PE；低PB；周期/类公用事业需用归一化利润复核,ROE下滑；周期/类公用事业行业，当前PE可能不可直接外推；需行业模型复核：需复核吞吐量、费率政策、腹地经济和资本开支。；ROE连续下滑；扣非净利润5年CAGR为负；存在价值陷阱信号；航运/港口需复核运价周期、吞吐量、资本开支和全球贸易波动。,周期/公用事业 normalized PE 与周期变量未接入
002142.SZ,宁波银行,银行,金融企业,行业模型待补,15.0,15.0,7.04,0.91,3.74%,13.54%,109.48%,2119.75亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,银行专项最小版 / 银行字段部分接入,非周期模型不适用,,,,,低PE；低PB；金融股低估值需用专属资产质量指标复核,ROE下滑；金融行业仅粗筛，未接入不良率/拨备覆盖率/资本充足率等专属数据；ROE连续下滑；金融企业ROE下滑；行业专属数据不足；存在价值陷阱信号；银行模型待补：需补不良率、拨备覆盖率、资本充足率、净息差、ROE稳定性、成本收入比。,金融股专属指标未接入
601288.SH,农业银行,银行,金融企业,行业模型待补,15.0,15.0,7.94,0.83,3.74%,9.79%,89.21%,23378.87亿元,弱信号,策略ETF弱信号,银行专项最小版 / 银行字段部分接入,非周期模型不适用,,,,,低PE；低PB；金融股低估值需用专属资产质量指标复核,ROE下滑；金融行业仅粗筛，未接入不良率/拨备覆盖率/资本充足率等专属数据；ROE连续下滑；金融企业ROE下滑；行业专属数据不足；存在价值陷阱信号；银行模型待补：需补不良率、拨备覆盖率、资本充足率、净息差、ROE稳定性、成本收入比。,金融股专属指标未接入
002966.SZ,苏州银行,银行,金融企业,行业模型待补,15.0,15.0,6.65,0.70,2.58%,10.32%,29.34%,363.91亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,银行专项最小版 / 银行字段部分接入,非周期模型不适用,,,,,低PE；低PB；金融股低估值需用专属资产质量指标复核,ROE下滑；金融行业仅粗筛，未接入不良率/拨备覆盖率/资本充足率等专属数据；ROE连续下滑；金融企业ROE下滑；行业专属数据不足；存在价值陷阱信号；银行模型待补：需补不良率、拨备覆盖率、资本充足率、净息差、ROE稳定性、成本收入比。,金融股专属指标未接入
601577.SH,长沙银行,银行,金融企业,行业模型待补,15.0,15.0,4.71,0.53,2.07%,11.49%,93.29%,388.08亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,银行专项最小版 / 银行字段部分接入,非周期模型不适用,,,,,低PE；低PB；金融股低估值需用专属资产质量指标复核,ROE下滑；金融行业仅粗筛，未接入不良率/拨备覆盖率/资本充足率等专属数据；ROE连续下滑；金融企业ROE下滑；行业专属数据不足；存在价值陷阱信号；银行模型待补：需补不良率、拨备覆盖率、资本充足率、净息差、ROE稳定性、成本收入比。,金融股专属指标未接入
600941.SH,中国移动,电信运营,周期公用事业,行业模型待补,15.0,15.0,15.04,1.44,4.99%,10.22%,3.72%,20428.51亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,normalized PE 数据不足,数据不足,数据不足,normalized PE proxy:5年中有效年份少于3年,下一步重点复核：5 年利润中枢是否代表正常景气、当前利润是否处于周期高点、资本开支是否压低自由现金流、商品价格/产能/利用率是否支持盈利持续。,低PB；高股息；周期/类公用事业需用归一化利润复核,ROE下滑；周期/类公用事业行业，当前PE可能不可直接外推；需行业模型复核：需复核政策定价、资本开支、现金流稳定性和分红约束。；ROE连续下滑；存在价值陷阱信号；电信运营需复核 ARPU、资本开支、折旧、监管定价和分红可持续性。,周期/公用事业 normalized PE 与周期变量未接入
601018.SH,宁波港,港口,周期公用事业,行业模型待补,15.0,15.0,12.81,0.81,3.53%,6.81%,8.81%,661.45亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,normalized PE 数据不足,数据不足,数据不足,normalized PE proxy:5年中有效年份少于3年,下一步重点复核：5 年利润中枢是否代表正常景气、当前利润是否处于周期高点、资本开支是否压低自由现金流、商品价格/产能/利用率是否支持盈利持续。,低PE；低PB；周期/类公用事业需用归一化利润复核,周期/类公用事业行业，当前PE可能不可直接外推；需行业模型复核：需复核吞吐量、费率政策、腹地经济和资本开支。；ROE偏低或缺失；ROE偏低，需验证盈利质量和资本回报可持续性；航运/港口需复核运价周期、吞吐量、资本开支和全球贸易波动。,周期/公用事业 normalized PE 与周期变量未接入
000598.SZ,兴蓉环境,水务,周期公用事业,行业模型待补,15.0,15.0,10.30,1.03,2.68%,11.37%,1.60%,208.58亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,normalized PE 数据不足,数据不足,数据不足,normalized PE proxy:5年中有效年份少于3年,下一步重点复核：5 年利润中枢是否代表正常景气、当前利润是否处于周期高点、资本开支是否压低自由现金流、商品价格/产能/利用率是否支持盈利持续。,低PE；低PB；周期/类公用事业需用归一化利润复核,ROE下滑；周期/类公用事业行业，当前PE可能不可直接外推；需行业模型复核：需复核政策定价、资本开支、现金流稳定性和分红约束。；ROE连续下滑；存在价值陷阱信号；周期/类公用事业需复核商品周期、政策定价、资本开支和 normalized PE。,周期/公用事业 normalized PE 与周期变量未接入
000728.SZ,国元证券,证券,金融企业,行业模型待补,15.0,15.0,13.42,0.80,2.51%,5.92%,31.47%,312.45亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,券商专属模型待补,非周期模型不适用,,,,,低PE；低PB；金融股低估值需用专属资产质量指标复核,金融行业仅粗筛，未接入不良率/拨备覆盖率/资本充足率等专属数据；行业专属数据不足；ROE偏低或缺失；ROE偏低，需验证盈利质量和资本回报可持续性；券商模型待补：需补 PB、ROE、市场周期和经纪/投行/资管业务结构。,金融股专属指标未接入
000776.SZ,广发证券,证券,金融企业,行业模型待补,15.0,15.0,10.41,1.18,2.40%,7.77%,-17.49%,1629.92亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,券商专属模型待补,非周期模型不适用,,,,,低PE；低PB；金融股低估值需用专属资产质量指标复核,金融行业仅粗筛，未接入不良率/拨备覆盖率/资本充足率等专属数据；行业专属数据不足；ROE偏低或缺失；ROE偏低，需验证盈利质量和资本回报可持续性；券商模型待补：需补 PB、ROE、市场周期和经纪/投行/资管业务结构。,金融股专属指标未接入
601108.SH,财通证券,证券,金融企业,行业模型待补,15.0,15.0,12.47,0.97,2.12%,7.22%,14.16%,369.18亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,券商专属模型待补,非周期模型不适用,,,,,低PE；低PB；金融股低估值需用专属资产质量指标复核,金融行业仅粗筛，未接入不良率/拨备覆盖率/资本充足率等专属数据；行业专属数据不足；ROE偏低或缺失；ROE偏低，需验证盈利质量和资本回报可持续性；券商模型待补：需补 PB、ROE、市场周期和经纪/投行/资管业务结构。,金融股专属指标未接入
600050.SH,中国联通,电信运营,周期公用事业,行业模型待补,15.0,15.0,15.89,0.81,3.94%,5.06%,17.28%,1375.63亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,normalized PE 数据不足,数据不足,数据不足,normalized PE proxy:5年中有效年份少于3年,下一步重点复核：5 年利润中枢是否代表正常景气、当前利润是否处于周期高点、资本开支是否压低自由现金流、商品价格/产能/利用率是否支持盈利持续。,低PB；周期/类公用事业需用归一化利润复核,周期/类公用事业行业，当前PE可能不可直接外推；需行业模型复核：需复核政策定价、资本开支、现金流稳定性和分红约束。；ROE偏低或缺失；ROE偏低，需验证盈利质量和资本回报可持续性；电信运营需复核 ARPU、资本开支、折旧、监管定价和分红可持续性。,周期/公用事业 normalized PE 与周期变量未接入
600461.SH,洪城环境,水务,周期公用事业,行业模型待补,14.5,14.5,10.26,1.18,4.93%,13.89%,7.17%,120.84亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,normalized PE 数据不足,数据不足,数据不足,normalized PE proxy:5年中有效年份少于3年,下一步重点复核：5 年利润中枢是否代表正常景气、当前利润是否处于周期高点、资本开支是否压低自由现金流、商品价格/产能/利用率是否支持盈利持续。,低PE；低PB；高股息；周期/类公用事业需用归一化利润复核,ROE下滑；周期/类公用事业行业，当前PE可能不可直接外推；需行业模型复核：需复核政策定价、资本开支、现金流稳定性和分红约束。；ROE连续下滑；营收5年CAGR为负；存在价值陷阱信号；周期/类公用事业需复核商品周期、政策定价、资本开支和 normalized PE。,周期/公用事业 normalized PE 与周期变量未接入
002060.SZ,广东建工,建筑工程,周期公用事业,行业模型待补,14.5,14.5,11.43,0.85,4.27%,10.65%,-53.97%,123.14亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,normalized PE 数据不足,数据不足,数据不足,normalized PE proxy:5年中有效年份少于3年,下一步重点复核：5 年利润中枢是否代表正常景气、当前利润是否处于周期高点、资本开支是否压低自由现金流、商品价格/产能/利用率是否支持盈利持续。,低PE；低PB；高股息；周期/类公用事业需用归一化利润复核,ROE下滑；资产负债率偏高；周期/类公用事业行业，当前PE可能不可直接外推；需行业模型复核：需复核订单质量、回款、应收账款和地产/基建周期。；ROE连续下滑；存在价值陷阱信号；资产负债率偏高；周期/类公用事业需复核商品周期、政策定价、资本开支和 normalized PE。,周期/公用事业 normalized PE 与周期变量未接入
000899.SZ,赣能股份,火力发电,周期公用事业,行业模型待补,14.5,14.5,12.32,1.88,4.42%,6.93%,-14.27%,125.08亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,normalized PE 数据不足,数据不足,数据不足,normalized PE proxy:5年中有效年份少于3年,下一步重点复核：5 年利润中枢是否代表正常景气、当前利润是否处于周期高点、资本开支是否压低自由现金流、商品价格/产能/利用率是否支持盈利持续。,低PE；高股息；周期/类公用事业需用归一化利润复核,周期/类公用事业行业，当前PE可能不可直接外推；需行业模型复核：需复核煤电价差、容量电价、利用小时和政策定价。；当前利润显著高于5年均值；ROE偏低或缺失；存在价值陷阱信号；资产负债率偏高；ROE偏低，需验证盈利质量和资本回报可持续性；周期/类公用事业需复核商品周期、政策定价、资本开支和 normalized PE。,周期/公用事业 normalized PE 与周期变量未接入
600033.SH,福建高速,路桥,周期公用事业,行业模型待补,14.5,14.5,10.34,0.79,2.77%,7.80%,21.05%,99.07亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,normalized PE 数据不足,数据不足,数据不足,normalized PE proxy:5年中有效年份少于3年,下一步重点复核：5 年利润中枢是否代表正常景气、当前利润是否处于周期高点、资本开支是否压低自由现金流、商品价格/产能/利用率是否支持盈利持续。,低PE；低PB；周期/类公用事业需用归一化利润复核,周期/类公用事业行业，当前PE可能不可直接外推；需行业模型复核：需复核收费政策、车流量、资本开支和分红稳定性。；ROE偏低或缺失；ROE偏低，需验证盈利质量和资本回报可持续性；周期/类公用事业需复核商品周期、政策定价、资本开支和 normalized PE。,周期/公用事业 normalized PE 与周期变量未接入
600125.SH,铁龙物流,铁路,周期公用事业,行业模型待补,14.5,14.5,13.51,0.93,2.17%,5.95%,6.40%,72.85亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,normalized PE 数据不足,数据不足,数据不足,normalized PE proxy:5年中有效年份少于3年,下一步重点复核：5 年利润中枢是否代表正常景气、当前利润是否处于周期高点、资本开支是否压低自由现金流、商品价格/产能/利用率是否支持盈利持续。,低PE；低PB；周期/类公用事业需用归一化利润复核,周期/类公用事业行业，当前PE可能不可直接外推；需行业模型复核：需复核政策定价、资本开支、现金流稳定性和分红约束。；ROE偏低或缺失；营收5年CAGR为负；ROE偏低，需验证盈利质量和资本回报可持续性；周期/类公用事业需复核商品周期、政策定价、资本开支和 normalized PE。,周期/公用事业 normalized PE 与周期变量未接入
